text,label
Amazing book,POSITIVE
Loved the story and characters,POSITIVE
A thrilling read from start to finish,POSITIVE
Well written and engaging,POSITIVE
The plot was a bit predictable,NEUTRAL
Good effort but not outstanding,NEUTRAL
Interesting ideas but slow pacing,NEUTRAL
Average book, nothing special,NEUTRAL
Didn’t enjoy the storyline,NEGATIVE
Boring and poorly written,NEGATIVE
Disappointing ending,NEGATIVE
Characters were flat and dull,NEGATIVE
Fantastic read, really enjoyed it,POSITIVE
One of my favorites,POSITIVE
Highly recommend to everyone,POSITIVE
Couldn’t put it down,POSITIVE
Not bad but could be better,NEUTRAL
Fairly enjoyable,NEUTRAL
Some good parts, some boring,NEUTRAL
Mixed feelings about this book,NEUTRAL
Hated it, wouldn’t recommend,NEGATIVE
Terrible writing,NEGATIVE
Waste of time,NEGATIVE
Not engaging at all,NEGATIVE
Brilliant narrative and plot twists,POSITIVE
Loved the ending,POSITIVE
Amazing character development,POSITIVE
Very entertaining,POSITIVE
Mediocre story,NEUTRAL
Okay book, nothing memorable,NEUTRAL
Average pacing,NEUTRAL
Couldn’t decide how I felt,NEUTRAL
Awful book,NEGATIVE
Very disappointed,NEGATIVE
Not worth reading,NEGATIVE
Didn’t meet expectations,NEGATIVE
Excellent world-building,POSITIVE
Fascinating characters,POSITIVE
Highly enjoyable,POSITIVE
Well crafted story,POSITIVE
Fair book,NEUTRAL
Somewhat engaging,NEUTRAL
Average read,NEUTRAL
Could be improved,NEUTRAL
Boring plot,NEGATIVE
Uninspired writing,NEGATIVE
Predictable story,NEGATIVE
Characters lacked depth,NEGATIVE
Fantastic plot,POSITIVE
Loved the dialogue,POSITIVE
Great storytelling,POSITIVE
Engaging from page one,POSITIVE
Not bad overall,NEUTRAL
Mixed quality chapters,NEUTRAL
Somewhat average,NEUTRAL
Okay read,NEUTRAL
Poorly written,NEGATIVE
Disliked the ending,NEGATIVE
Not my type,NEGATIVE
Very dull,NEGATIVE
Amazing story,POSITIVE
Really liked the characters,POSITIVE
Highly recommend,POSITIVE
Enjoyable and fast-paced,POSITIVE
Average book,NEUTRAL
Somewhat interesting,NEUTRAL
Nothing special,NEUTRAL
Mediocre plot,NEUTRAL
Horrible experience,NEGATIVE
Disappointed overall,NEGATIVE
Waste of time,NEGATIVE
Boring chapters,NEGATIVE
Loved it,POSITIVE
Fantastic read,POSITIVE
Great adventure,POSITIVE
Characters were relatable,POSITIVE
Fairly okay,NEUTRAL
Could be better,NEUTRAL
Some good points,NEUTRAL
Mixed feelings,NEUTRAL
Not enjoyable,NEGATIVE
Poor writing,NEGATIVE
Disliked it,NEGATIVE
Very bad story,NEGATIVE
Incredible journey,POSITIVE
Loved the twists,POSITIVE
Highly entertaining,POSITIVE
Great read overall,POSITIVE
So-so book,NEUTRAL
Average experience,NEUTRAL
Neutral feelings,NEUTRAL
Okay overall,NEUTRAL
Terrible book,NEGATIVE
Horrible read,NEGATIVE
Very disappointing,NEGATIVE
Didn’t like it,NEGATIVE
Amazing experience,POSITIVE
Loved it completely,POSITIVE
Enjoyed every chapter,POSITIVE
Fantastic storyline,POSITIVE
Not bad,NEUTRAL
Mediocre overall,NEUTRAL
Somewhat enjoyable,NEUTRAL
Mixed thoughts,NEUTRAL
Awful read,NEGATIVE
Boring story,NEGATIVE
Not engaging,NEGATIVE
Poor characters,NEGATIVE
